STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,PROGRAM_CURRENT_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,PROGRAM_OTHER_EXPENDITURE,PROGRAM_NON_ELSEC_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Alabama,1993,2827391,331409,1729295,766687,2833433,2569466,1564558,794146,210762,26460,204207
Alaska,1993,1191398,176150,775829,239419,1126398,959013,494917,433788,30308,5983,135791
Arizona,1993,3427976,318465,1415407,1694104,3623946,2723086,1578889,1000914,143283,20800,680139
Arkansas,1993,1346909,128196,771079,447634,1376067,1235821,782791,386526,66504,2113,97824
California,1993,28043338,2151157,17064146,8828035,28110986,25405624,15281147,8914559,1209918,398596,1944760
Colorado,1993,3058326,147793,1242337,1668196,3028305,2574979,1537714,954032,83233,8930,318959
Connecticut,1993,4064158,149204,1433539,2481415,4079943,3621170,2302852,1190914,127404,15908,186802
Delaware,1993,683954,44497,443250,196207,694534,624458,394680,207850,21928,4620,47372
District of Columbia,1993,721151,73882,0,647269,719440,675721,339266,302281,34174,5645,38074
Florida,1993,11370156,947326,5520893,4901937,11425183,9386830,5333136,3557043,496651,355569,1424334
Georgia,1993,4716559,296231,2243580,2176748,4647974,4115499,2538712,1323320,253467,6956,439808
Hawaii,1993,1062475,76183,962375,23917,1063090,946074,580597,304362,61115,34585,82431
Idaho,1993,890835,72747,547454,270634,899819,798472,499914,260805,37753,3485,81359
Illinois,1993,10584624,632724,3467071,6484829,10744695,9212325,5520683,3352722,338920,87491,852085
Indiana,1993,5833420,278090,3005534,2549796,5668599,4676830,2862585,1619011,195234,73690,477709
Iowa,1993,2880731,131444,1299055,1450232,2889377,2449531,1522556,818922,108053,6337,196098
Kansas,1993,2386945,123082,1165178,1098685,2522542,2234908,1309958,802965,121985,20283,195674
Kentucky,1993,2381148,216900,1529326,634922,2283431,2107036,1247496,711873,147667,3859,127578
Louisiana,1993,3438321,397206,1876967,1164148,3427102,3144266,1898515,997974,247777,14832,173012
Maine,1993,1368095,77440,652164,638491,1321846,1181115,809278,328664,43173,24691,55490
Maryland,1993,4918010,252211,1940713,2725086,4898895,4496376,2785206,1508203,202967,21180,324925
Massachusetts,1993,6121612,305113,1924321,3892178,5679261,5131378,3237228,1720824,173326,18315,59238
Michigan,1993,11034174,594226,3326748,7113200,11430958,9568322,5411969,3689748,466605,248805,932700
Minnesota,1993,4862635,213724,2284106,2364805,5290504,4248789,2756415,1327959,164415,301891,512196
Mississippi,1993,1170109,174870,612301,382938,1167032,1056913,652571,318799,85543,4223,87575
Missouri,1993,4196601,271548,1939230,1985823,4234845,3646287,2229886,1250115,166286,61400,399553
Montana,1993,813998,74386,445532,294080,833435,771628,446245,261677,63706,494,49720
Nebraska,1993,1625242,94308,509432,1021502,1642376,1452851,972575,424311,55965,1599,141118
Nevada,1993,1148268,52876,753277,342115,1265367,1007241,611914,360827,34500,7299,195478
New Hampshire,1993,1109743,34680,84342,990721,1091814,965499,611158,322618,31723,3079,42172
New Jersey,1993,6747567,331924,3104597,3311046,6641624,5924819,3676378,2092298,156143,47632,342746
New Mexico,1993,1217194,154018,897725,165451,1223185,1066454,587753,427793,50908,11545,128202
New York,1993,22688753,1276362,8848470,12563921,23934282,21063494,14029639,6425626,608229,327666,1625848
North Carolina,1993,5583166,433602,3388466,1761098,5475174,4881990,3037814,1525471,318705,27117,480317
North Dakota,1993,580148,56254,243783,280111,588983,508586,310940,156042,41604,3043,41585
Ohio,1993,10841606,509488,4156070,6176048,10386151,9530049,5522474,3653944,353631,97769,588386
Oklahoma,1993,1436505,99809,802783,533913,1428916,1258205,726475,457062,74668,38914,113949
Oregon,1993,3141217,196584,1180698,1763935,3149126,2856032,1712282,1053438,90312,8473,209804
Pennsylvania,1993,12269422,695807,4781408,6792207,12809067,11037105,6856146,3622113,558846,126021,966827
Rhode Island,1993,919594,46215,351512,521867,901540,865714,588044,268106,9564,1977,12708
South Carolina,1993,3031112,277419,1419961,1333732,2994038,2639080,1592384,820795,225901,43760,221824
South Dakota,1993,465650,52787,120851,292012,481665,426608,265549,139963,21096,1212,43632
Tennessee,1993,3268642,334410,1535027,1399205,3286481,2935155,1969619,781510,184026,25560,248037
Texas,1993,20267205,1233446,9919561,9114198,18574871,14969885,8914245,5150373,905267,66416,2989512
Utah,1993,1638305,116791,928596,592918,1665011,1420114,881924,410867,127323,1435,207312
Vermont,1993,837540,34179,216778,586583,809853,618239,405876,193543,18820,3878,15655
Virginia,1993,5918536,365601,2358711,3194224,5955333,5165989,3121277,1837782,206930,96132,488487
Washington,1993,5270961,284396,3720223,1266342,5791436,4621351,2778268,1626508,216575,18649,942214
West Virginia,1993,1832154,140913,1220263,470978,1829848,1614747,1023497,500010,91240,25109,171484
Wisconsin,1993,5357945,226234,2205644,2926067,5640718,4899738,3111910,1629643,158185,35183,500029
Wyoming,1993,615130,35437,308683,271010,614807,547171,334071,193624,19476,1571,48076
Alabama,1994,2970223,331823,1850894,787506,3103266,2774152,1697593,826442,250117,56860,231508
Alaska,1994,1052282,134168,668229,249885,1116160,993719,516242,446458,31019,5570,98486
Arizona,1994,3566586,348847,1478372,1739367,3803379,2866702,1652311,1054136,160255,23523,696618
Arkansas,1994,1393287,132108,810396,450783,1445984,1292200,816270,403608,72322,3112,105349
California,1994,23440845,2095878,13175550,8169417,23012688,20036045,12443864,6754346,837835,777795,1916061
Colorado,1994,3061865,165539,1269532,1626794,3113755,2637504,1574164,977343,85997,9799,328219
Connecticut,1994,4268860,142392,1537064,2589404,4132350,3786039,2431273,1221662,133104,17645,53083
Delaware,1994,705798,50572,447430,207796,732323,655238,413915,217782,23541,6779,50805
District of Columbia,1994,735720,79432,0,656288,769818,741205,351028,332951,57226,6045,22568
Florida,1994,12315950,890498,6158417,5267035,12469073,10069534,5715125,3849613,504796,394059,1769738
Georgia,1994,6824191,449430,3473578,2901183,6597359,5760483,3509251,1862815,388417,16959,723316
Hawaii,1994,1133949,77993,1025813,30143,1146267,998144,615270,322736,60138,33344,114779
Idaho,1994,949999,77626,576106,296267,974781,852857,538783,273654,40420,4142,99924
Illinois,1994,11309803,628532,3697747,6983524,10743708,9553438,5727974,3468903,356561,89710,508619
Indiana,1994,6121754,286351,2754602,3080801,6061435,4951463,3003825,1743788,203850,69643,551285
Iowa,1994,2987394,139312,1339912,1508170,2974072,2522712,1551221,858078,113413,6839,195410
Kansas,1994,2700587,134686,1540727,1025174,2643192,2363214,1371720,856673,134821,21510,172340
Kentucky,1994,2491948,238630,1561340,691978,2392549,2212485,1310208,761029,141248,4682,126669
Louisiana,1994,3571864,437307,1914388,1220169,3539581,3241346,1952186,1033282,255878,14735,197625
Maine,1994,1357116,77393,609841,669882,1338353,1170464,799103,325201,46160,26074,73376
Maryland,1994,5141505,258611,2002382,2880512,5187683,4713347,2812922,1673254,227171,26870,387699
Massachusetts,1994,6410757,312111,2119446,3979200,6391131,5628587,3536321,1914124,178142,11668,282757
Michigan,1994,11762546,658039,3489815,7614692,12023935,10221086,5825127,3912910,483049,320177,877390
Minnesota,1994,5262482,224106,2822949,2215427,5581140,4437496,2876527,1388180,172789,318160,565106
Mississippi,1994,1911579,296345,1048767,566467,1919812,1731881,1072529,515600,143752,4763,159184
Missouri,1994,4488359,294270,2089445,2104644,4575564,3925414,2396531,1349465,179418,65898,443146
Montana,1994,878986,83029,446392,349565,878084,812680,508299,271711,32670,3666,50333
Nebraska,1994,1710913,101579,528743,1080591,1769248,1542236,1033858,447649,60729,2379,173484
Nevada,1994,1266549,56664,817216,392669,1344245,1098290,654272,406932,37086,7653,184082
New Hampshire,1994,1145147,37805,89556,1017786,1119762,998483,648513,316069,33901,5018,34260
New Jersey,1994,6957898,293378,3102722,3561798,6765105,6099446,3522248,2430560,146638,122077,320715
New Mexico,1994,1342868,164101,982237,196530,1223759,1074527,622138,391385,61004,2545,129528
New York,1994,23933662,1442038,9092275,13399349,25359726,22313162,14829280,6782725,701157,291221,1717307
North Carolina,1994,5648390,454682,3553217,1640491,5740906,5123213,3161072,1629603,332538,30183,490626
North Dakota,1994,603902,65506,247062,291334,621313,521103,319014,158223,43866,2656,50938
Ohio,1994,10735756,537642,4271944,5926170,10780138,9828410,5785984,3675789,366637,106059,658754
Oklahoma,1994,1518540,120788,839113,558639,1529205,1315446,765718,473061,76667,39634,129800
Oregon,1994,3088542,212544,1215471,1660527,3191792,2886810,1719357,1068111,99342,10859,223352
Pennsylvania,1994,13271564,686113,5132066,7453385,13701725,11474801,7100564,3795048,579189,124297,963256
Rhode Island,1994,1012987,48443,385626,578918,994885,954728,642068,300816,11844,2308,14866
South Carolina,1994,3179542,285908,1470131,1423503,3156251,2771097,1646310,961618,163169,48544,251078
South Dakota,1994,507927,51846,126591,329490,525289,455062,284638,148152,22272,1079,52745
Tennessee,1994,3535898,341912,1694595,1499391,3661470,3294415,2101003,996094,197318,28272,270608
Texas,1994,19713604,1456330,8569649,9687625,19224149,16795054,9814470,6093204,887380,48951,1717181
Utah,1994,1792011,125520,982848,683643,1846448,1546233,997141,413388,135704,1567,256177
Vermont,1994,892124,34989,219927,637208,869710,644177,419793,203059,21325,3686,38902
Virginia,1994,6125739,372866,2399644,3353229,6276362,5368868,3271356,1883438,214074,100365,587495
Washington,1994,5739012,327784,3978265,1432963,5968590,4889720,2918426,1741684,229610,22517,840257
West Virginia,1994,1854403,147289,1185501,521613,1843973,1649489,1051169,507996,90324,26255,151404
Wisconsin,1994,5682439,238786,2363863,3079790,5860230,5110086,3257526,1689034,163526,30030,504767
Wyoming,1994,674921,38849,351472,284600,623146,556452,344562,192234,19656,1505,48647
Alabama,1995,3367437,328957,2161366,877114,3353363,3006797,1851700,888983,266114,60842,243365
Alaska,1995,1117068,123037,710028,284003,1203817,1016905,515914,469085,31906,5673,159146
Arizona,1995,3815218,376437,1669173,1769608,4056279,3101578,1772388,1131046,198144,28363,710135
Arkansas,1995,2057550,197556,1244457,615537,2155067,1925362,1211057,598109,116196,3738,160693
California,1995,29512214,2612241,15541486,11358487,30097549,25722959,16146416,8603751,972792,1208261,2669270
Colorado,1995,3709875,201341,1577988,1930546,3766191,3177922,1896225,1174299,107398,8238,449501
Connecticut,1995,4420632,147466,1622686,2650480,4252186,3959867,2596475,1245242,118150,18855,91833
Delaware,1995,802018,51682,510473,239863,772669,695214,431433,236288,27493,8002,50074
District of Columbia,1995,700111,65527,0,634584,708224,666938,336543,301371,29024,9183,32103
Florida,1995,13242710,938814,6519109,5784787,13473977,10728804,6113051,4077880,537873,413150,2070572
Georgia,1995,7052825,458452,3652134,2942239,7292267,6246076,3813194,2009750,423132,19302,898969
Hawaii,1995,1173579,82547,1062296,28736,1157159,1028730,636952,328579,63199,33723,94706
Idaho,1995,1083215,80861,665768,336586,1108075,947687,602038,301143,44506,1601,134550
Illinois,1995,12236673,686758,4100518,7449397,11821661,10174505,6031588,3778799,364118,93118,1023865
Indiana,1995,6514934,292362,3335998,2886574,6377558,5120892,3145120,1760003,215769,74892,643725
Iowa,1995,3076971,141050,1381253,1554668,3100772,2607522,1614502,872640,120380,7563,209808
Kansas,1995,2826943,137424,1613143,1076376,2756682,2427662,1407359,881083,139220,23411,177250
Kentucky,1995,3508673,312742,2218928,977003,3415870,3206062,1890546,1112902,202614,8661,143259
Louisiana,1995,3791795,449360,1999375,1343060,3735603,3398121,2050103,1081590,266428,22938,219314
Maine,1995,1446745,78233,652626,715886,1438795,1273749,833366,391838,48545,14510,70968
Maryland,1995,5580123,270249,2059219,3250655,5610071,5065374,3064702,1768323,232349,20845,458731
Massachusetts,1995,7326904,265878,2095327,4965699,6706082,5719363,3681274,1840847,197242,20714,259982
Michigan,1995,12500208,692600,8053624,3753984,12477806,10605489,6162390,3915929,527170,419897,753611
Minnesota,1995,5744447,235069,2919940,2589438,6155324,4820818,3109813,1526879,184126,339142,662497
Mississippi,1995,2118973,310290,1185162,623521,2160068,1917896,1189394,569686,158816,5999,204426
Missouri,1995,4852467,313295,2276277,2262895,4957215,4212418,2573557,1449433,189428,72891,526263
Montana,1995,911284,89446,449477,372361,899635,838286,523380,281496,33410,3082,46881
Nebraska,1995,1832463,102783,560994,1168686,1874253,1576008,1041372,470308,64328,1895,242244
Nevada,1995,1367710,65007,860823,441880,1381200,1184948,705709,438671,40568,7831,126131
New Hampshire,1995,1197945,35162,83613,1079170,1232465,1060606,676601,347776,36229,3852,80404
New Jersey,1995,11870183,397612,4369467,7103104,11961696,10537911,6065026,4166818,306067,185624,719638
New Mexico,1995,1646265,205847,1215392,225026,1540683,1345409,774207,494348,76854,2853,171166
New York,1995,25063999,1368074,9932669,13763256,26540967,23302045,15693535,6970608,637902,307535,1811288
North Carolina,1995,6076939,443689,3867404,1765846,6217951,5507984,3417870,1737660,352454,34886,564673
North Dakota,1995,642234,72116,256507,313611,621904,533609,327382,159739,46488,4273,39515
Ohio,1995,11368650,675770,4385097,6307783,11330046,10337059,6041768,3905229,390062,120441,678965
Oklahoma,1995,3156526,274027,1804537,1077962,3180275,2725150,1623941,921572,179637,111605,295180
Oregon,1995,3302062,224156,1521849,1556057,3255984,2951270,1789292,1060444,101534,11167,213860
Pennsylvania,1995,13957035,714271,5401558,7841206,14135826,11886152,7562476,3908949,414727,135699,963078
Rhode Island,1995,1089859,55060,434056,600743,1056716,1011093,677240,308559,25294,2319,18871
South Carolina,1995,3389646,288860,1550416,1550370,3286673,2879790,1707358,998972,173460,58912,262152
South Dakota,1995,684882,65762,179725,439395,693964,609208,380309,199942,28957,1183,68754
Tennessee,1995,3870164,332765,1855788,1681611,3958973,3455974,2245634,1020793,189547,32176,394695
Texas,1995,20483376,1496378,8718907,10268091,20198924,17430686,10652067,5778548,1000071,87250,2104954
Utah,1995,1953833,134118,1055987,763728,2045331,1647512,1069735,435270,142507,1317,348647
Vermont,1995,934916,33672,224946,676298,891398,645908,415719,208906,21283,3600,36040
Virginia,1995,6354418,368088,2522258,3464072,6590998,5639340,3452911,1959389,227040,110429,602745
Washington,1995,5985425,345792,4091373,1548260,6200754,5154153,3078586,1833862,241705,23371,785601
West Virginia,1995,1916605,155738,1210730,550137,1925100,1744683,1104307,540560,99816,28646,134365
Wisconsin,1995,6006745,248319,2621263,3137163,6056854,5366366,3425341,1767790,173235,30817,426714
Wyoming,1995,634237,42456,303913,287868,642935,576041,357039,198669,20333,1642,48915
Alabama,1996,3365113,334858,2138717,891538,3572283,3216978,1987018,935115,294845,28038,286699
Alaska,1996,1120346,123505,706116,290725,1240031,1035575,636959,365085,33531,5465,179297
Arizona,1996,4143304,378917,1798363,1966024,4391555,3240389,1860007,1193260,187122,33528,877190
Arkansas,1996,2183384,192152,1296247,694985,2297381,2014926,1264275,636106,114545,12462,203555
California,1996,31282981,2603882,17061474,11617625,31561692,27135539,16880730,9222569,1032240,1330167,2580639
Colorado,1996,3891203,194998,1664676,2031529,4075165,3314921,2052264,1127563,135094,8673,588209
Connecticut,1996,4686025,162218,1703171,2820636,4538234,4127859,2701637,1296119,130103,19689,149327
Delaware,1996,860410,48796,567123,244491,823530,720954,447461,245924,27569,7179,72077
District of Columbia,1996,678874,57870,0,621004,703245,679107,334893,312944,31270,8686,15452
Florida,1996,13684457,942159,6671487,6070811,13936240,11177439,6380643,4230355,566441,425674,2042385
Georgia,1996,7764687,516518,4086584,3161585,7934236,6683271,4118122,2125775,439374,70560,1042930
Hawaii,1996,1199019,91391,1079097,28531,1231550,1067846,671105,328131,68610,34438,129266
Idaho,1996,1134052,80486,718218,335348,1198223,1015385,642377,327291,45717,2033,157468
Illinois,1996,12732129,728400,4191483,7812246,12423100,10642763,6303563,3960659,378541,96083,1112689
Indiana,1996,6422662,306715,3298257,2817690,6644035,5367171,3293900,1847383,225888,76395,616866
Iowa,1996,3258040,147878,1486426,1623736,3284185,2737364,1679091,931857,126416,8208,242065
Kansas,1996,2914544,140242,1658774,1115528,3007653,2519607,1468081,906796,144730,24361,318829
Kentucky,1996,3622788,305059,2272684,1045045,3826435,3316731,1970377,1139539,206815,21832,413638
Louisiana,1996,3879633,468363,1978056,1433214,3815375,3472180,2078321,1117936,275923,23364,236616
Maine,1996,1485138,78626,647382,759130,1465093,1304782,857253,398040,49489,14048,62645
Maryland,1996,5688918,271806,2163187,3253925,5825606,5296004,3197895,1856055,242054,9276,449601
