Sex and age,1940,1950,1960,1970,1980,1990,2000
hi_both_25years_and_over,24.5,34.3,41.1,52.3,66.5,75.2,80.4
hi_both_25_to_29_years,38.1,52.8,60.7,73.8,84.5,83.5,83.6
hi_both_30_to_34_years,33.0,47.7,55.7,68.7,83.8,84.7,84.2
hi_both_35_to_39_years,26.9,40.5,54.7,64.5,79.0,86.0,84.7
hi_both_40_to_44_years,23.7,35.6,48.5,59.1,74.0,85.2,85.4
hi_both_45_to_49_years,20.6,30.0,40.6,57.0,69.3,80.4,86.4
hi_both_50_to_54_years,18.5,26.8,34.9,50.9,63.1,75.3,85.4
hi_both_55_to_59_years,17.1,23.3,28.5,43.0,60.0,70.4,81.1
hi_both_60_to_64_years,16.4,20.5,24.5,37.1,53.3,64.8,76.1
hi_both_65_to_69_years,14.2,18.4,20.7,30.5,45.1,61.8,72.1
hi_both_70_to_74_years,13.1,17.8,18.6,27.3,39.8,56.0,67.3
hi_both_75_years_and_over,11.5,16.6,17.7,24.0,32.7,44.8,60.7
hi_male_25years_and_over,22.7,32.6,39.5,51.9,67.3,75.7,80.1
hi_male_25_to_29_years,36.0,50.6,59.7,74.2,84.4,81.9,81.5
hi_male_30_to_34_years,30.7,46.3,53.4,68.9,84.4,83.5,82.4
hi_male_35_to_39_years,24.6,38.9,52.8,64.3,79.4,85.4,82.9
hi_male_40_to_44_years,21.9,33.3,47.1,57.3,74.3,85.2,83.9
hi_male_45_to_49_years,19.2,27.7,38.9,55.6,69.5,80.4,85.6
hi_male_50_to_54_years,17.1,25.1,32.6,49.7,61.9,75.5,85.2
hi_male_55_to_59_years,15.8,22.0,26.1,41.4,59.0,70.8,81.0
hi_male_60_to_64_years,15.0,19.2,22.5,34.7,52.8,63.9,76.5
hi_male_65_to_69_years,13.0,16.9,18.8,27.6,43.9,61.1,72.7
hi_male_70_to_74_years,11.9,16.0,16.6,24.5,37.6,56.0,66.8
hi_male_75_years_and_over,10.4,14.6,15.2,20.9,29.6,43.6,61.5
hi_female_25years_and_over,26.3,36.0,42.5,52.8,65.8,74.8,80.7
hi_female_25_to_29_years,40.1,55.0,61.7,73.5,84.7,85.1,85.7
hi_female_30_to_34_years,35.3,48.9,58.0,68.6,83.3,85.8,86.1
hi_female_35_to_39_years,29.1,42.0,56.5,64.6,78.5,86.5,86.4
hi_female_40_to_44_years,25.5,37.8,49.7,60.8,73.6,85.1,86.8
hi_female_45_to_49_years,22.1,32.3,42.3,58.4,69.1,80.4,87.1
hi_female_50_to_54_years,20.0,28.5,37.2,51.9,64.2,75.1,85.5
hi_female_55_to_59_years,18.5,24.5,30.7,44.5,60.8,70.1,81.1
hi_female_60_to_64_years,17.7,21.8,26.4,39.2,53.8,65.7,75.8
hi_female_65_to_69_years,15.4,19.8,22.4,32.8,46.0,62.3,74.6
hi_female_70_to_74_years,14.2,19.5,20.4,29.4,41.5,56.1,67.6
hi_female_75_years_and_over,12.5,18.3,19.5,26.0,34.3,45.5,60.2
ba_both_25years_and_over,4.6,6.2,7.7,10.7,16.2,20.3,24.4
ba_both_25_to_29_years,5.9,7.7,11.1,16.3,22.1,22.1,27.2
ba_both_30_to_34_years,6.3,7.4,10.9,14.4,24.6,23.4,27.9
ba_both_35_to_39_years,5.5,7.2,9.5,13.8,21.2,26.4,25.9
ba_both_40_to_44_years,4.7,7.4,8.1,12.4,17.5,27.7,25.9
ba_both_45_to_49_years,4.2,6.5,7.4,10.5,16.0,23.5,28.5
ba_both_50_to_54_years,3.8,5.6,7.3,8.8,13.9,19.4,29.1
ba_both_55_to_59_years,3.4,4.9,6.2,8.1,11.8,17.2,24.6
ba_both_60_to_64_years,3.3,4.3,5.0,7.9,10.0,14.9,20.3
ba_both_65_to_69_years,2.9,3.7,4.1,6.6,9.0,12.5,18.3
ba_both_70_to_74_years,2.6,3.6,3.6,5.5,9.0,10.6,16.2
ba_both_75_years_and_over,2.3,3.3,3.2,4.6,7.2,9.5,13.3
ba_male_25years_and_over,5.5,7.3,9.7,13.5,20.1,23.3,26.1
ba_male_25_to_29_years,6.9,9.6,14.4,19.5,23.6,21.7,24.7
ba_male_30_to_34_years,7.4,9.0,14.7,18.5,29.2,24.0,26.8
ba_male_35_to_39_years,6.5,8.4,13.0,18.6,26.1,28.0,25.6
ba_male_40_to_44_years,5.5,8.4,10.0,16.4,22.2,31.7,25.9
ba_male_45_to_49_years,4.9,7.4,8.6,14.1,21.1,27.8,29.4
ba_male_50_to_54_years,4.5,6.4,8.2,10.8,18.4,23.7,32.5
ba_male_55_to_59_years,4.1,5.6,7.0,9.3,15.8,22.2,28.6
ba_male_60_to_64_years,4.1,5.1,5.7,8.7,12.4,19.4,24.6
ba_male_65_to_69_years,3.6,4.4,4.8,7.4,10.7,16.9,23.5
ba_male_70_to_74_years,3.3,4.3,4.3,6.2,10.3,13.5,21.3
ba_male_75_years_and_over,2.9,4.0,3.9,5.3,8.6,11.7,17.7
ba_female_25years_and_over,3.8,5.2,5.8,8.1,12.8,17.6,22.9
ba_female_25_to_29_years,4.9,5.9,7.8,13.3,20.5,22.4,29.7
ba_female_30_to_34_years,5.3,6.0,7.3,10.6,20.2,22.8,29.1
ba_female_35_to_39_years,4.5,6.0,6.2,9.3,16.4,24.8,26.2
ba_female_40_to_44_years,3.9,6.5,6.2,8.5,13.1,23.8,25.8
ba_female_45_to_49_years,3.4,5.6,6.2,7.2,11.2,19.5,27.5
ba_female_50_to_54_years,3.0,4.9,6.5,7.0,9.9,15.4,25.9
ba_female_55_to_59_years,2.6,4.2,5.4,7.0,8.2,12.6,21.0
ba_female_60_to_64_years,2.5,3.6,4.3,7.3,7.8,10.9,16.5
ba_female_65_to_69_years,2.1,3.1,3.6,5.9,7.6,8.9,13.9
ba_female_70_to_74_years,1.9,3.0,3.1,5.0,8.1,8.4,12.2
ba_female_75_years_and_over,1.7,2.7,2.7,4.1,6.4,8.4,10.7
