Entity,Code,Year,Expenditure on primary as % of government expenditure on education (% of Government Expenditure on Education),Share of Education in Government Expenditure (% Total Expenditure),"GDP per capita in current USD, 1960-2014 - World Bank (current $)"
Afghanistan,AFG,1960,,,61.28913206
Afghanistan,AFG,1961,,,61.30409306
Afghanistan,AFG,1962,,,59.79869332
Afghanistan,AFG,1963,,,80.42300207
Afghanistan,AFG,1964,,,83.79481181
Afghanistan,AFG,1965,,,103.0891031
Afghanistan,AFG,1966,,,140.1383832
Afghanistan,AFG,1967,,,163.7007886
Afghanistan,AFG,1968,,,131.2214359
Afghanistan,AFG,1969,,,131.3136212
Afghanistan,AFG,1970,,,158.7642309
Afghanistan,AFG,1971,,,161.709516
Afghanistan,AFG,1972,,,137.0236876
Afghanistan,AFG,1973,,,144.8505998
Afghanistan,AFG,1974,,,175.6255239
Afghanistan,AFG,1975,,,188.5521201
Afghanistan,AFG,1976,,,199.5466136
Afghanistan,AFG,1977,,,226.5788854
Afghanistan,AFG,1978,,,250.007641
Afghanistan,AFG,1979,,,278.9397783
Afghanistan,AFG,1980,,,276.2977514
Afghanistan,AFG,1981,,,268.3465596
Afghanistan,AFG,2001,,,115.3125095
Afghanistan,AFG,2002,,,185.9592901
Afghanistan,AFG,2003,,,198.2877991
Afghanistan,AFG,2004,,,220.0562878
Afghanistan,AFG,2005,,,252.4078925
Afghanistan,AFG,2006,,,275.3509718
Afghanistan,AFG,2007,,,373.5910916
Afghanistan,AFG,2008,,,376.977494
Afghanistan,AFG,2009,,,450.6589877
Afghanistan,AFG,2010,,22.24014,561.198188
Afghanistan,AFG,2011,,19.10585,616.0434186
Afghanistan,AFG,2012,,12.82317,688.5787842
Afghanistan,AFG,2013,,18.4612,664.8041966
Afghanistan,AFG,2014,,18.39787,666.2917549
Albania,ALB,1984,,,662.5200523
Albania,ALB,1985,,,662.9147926
Albania,ALB,1986,,,719.1572957
Albania,ALB,1987,,,699.3842921
Albania,ALB,1988,,,676.5667325
Albania,ALB,1989,,,723.4096102
Albania,ALB,1990,,,639.4638993
Albania,ALB,1991,,,348.711327
Albania,ALB,1992,,,218.4921623
Albania,ALB,1993,,,380.5273711
Albania,ALB,1994,,,619.0649227
Albania,ALB,1995,,,760.5593582
Albania,ALB,1996,,,951.1320914
Albania,ALB,1997,,11.15339,697.5945647
Albania,ALB,1998,,9.62407,871.8936539
Albania,ALB,1999,,9.68246,1104.743553
Albania,ALB,2000,,10.13703,1193.466223
Albania,ALB,2001,,10.58193,1336.859141
Albania,ALB,2002,,9.88692,1458.328047
Albania,ALB,2003,,10.5736,1859.552352
Albania,ALB,2004,,10.70316,2466.00508
Albania,ALB,2005,,11.35797,2781.572144
Albania,ALB,2006,,10.93295,3051.76764
Albania,ALB,2007,,11.17719,3603.01356
Albania,ALB,2008,,,4370.539925
Albania,ALB,2009,,,4114.134899
Albania,ALB,2010,,,4094.360204
Albania,ALB,2011,,,4437.811725
Albania,ALB,2012,,,4256.016702
Albania,ALB,2013,56.93594,12.12391,4458.073207
Albania,ALB,2014,,,4619.211258
Algeria,DZA,1960,,,241.5052586
Algeria,DZA,1961,,,210.608129
Algeria,DZA,1962,,,168.9719717
Algeria,DZA,1963,,,222.7192964
Algeria,DZA,1964,,,233.8101099
Algeria,DZA,1965,,,245.5769914
Algeria,DZA,1966,,,231.6451766
Algeria,DZA,1967,,,249.7574356
Algeria,DZA,1968,,,277.3914186
Algeria,DZA,1969,,,297.9845459
Algeria,DZA,1970,,,331.0554462
Algeria,DZA,1971,,,336.2797085
Algeria,DZA,1972,,,435.909848
Algeria,DZA,1973,,,546.8955929
Algeria,DZA,1974,,,806.7162858
Algeria,DZA,1975,,,924.2237019
Algeria,DZA,1976,,,1024.08182
Algeria,DZA,1977,,,1177.631955
Algeria,DZA,1978,,,1438.282716
Algeria,DZA,1979,,,1760.337241
Algeria,DZA,1980,,,2174.31747
Algeria,DZA,1981,,,2205.970102
Algeria,DZA,1982,,,2176.916796
Algeria,DZA,1983,,,2274.774616
Algeria,DZA,1984,,,2424.248732
Algeria,DZA,1985,,,2535.858517
Algeria,DZA,1986,,,2705.94603
Algeria,DZA,1987,,,2755.01376
Algeria,DZA,1988,,,2372.584992
Algeria,DZA,1989,,,2175.093523
Algeria,DZA,1990,,,2364.549879
Algeria,DZA,1991,,,1699.856511
Algeria,DZA,1992,,,1743.346069
Algeria,DZA,1993,,,1773.820483
Algeria,DZA,1994,,,1479.600215
Algeria,DZA,1995,,,1424.642484
Algeria,DZA,1996,,,1572.831937
Algeria,DZA,1997,,,1587.646138
Algeria,DZA,1998,,,1563.500973
Algeria,DZA,1999,,,1555.191033
Algeria,DZA,2000,,,1727.333251
Algeria,DZA,2001,,,1702.780079
Algeria,DZA,2002,,,1742.55761
Algeria,DZA,2003,,,2056.265303
Algeria,DZA,2004,,,2549.957193
Algeria,DZA,2005,,,3038.735967
Algeria,DZA,2006,,,3391.385869
Algeria,DZA,2007,,,3845.825086
Algeria,DZA,2008,,11.42941,4786.532893
Algeria,DZA,2009,,,3771.263214
Algeria,DZA,2010,,,4349.569325
Algeria,DZA,2011,,,5271.590312
Algeria,DZA,2012,,,5309.822369
Algeria,DZA,2013,,,5360.701146
Algeria,DZA,2014,,,5361.10239
Andorra,AND,1970,,,3238.091489
Andorra,AND,1971,,,3497.910279
Andorra,AND,1972,,,4217.402956
Andorra,AND,1973,,,5343.118369
Andorra,AND,1974,,,6320.971834
Andorra,AND,1975,,,7168.39961
Andorra,AND,1976,,,7151.570434
Andorra,AND,1977,,,7751.167351
Andorra,AND,1978,,,9127.60884
Andorra,AND,1979,,,11819.64906
Andorra,AND,1980,,,12377.71593
Andorra,AND,1981,,,10372.32662
Andorra,AND,1982,,,9611.239676
Andorra,AND,1983,,,8023.346426
Andorra,AND,1984,,,7729.324108
Andorra,AND,1985,,,7775.026964
Andorra,AND,1986,,,10362.16684
Andorra,AND,1987,,,12615.05112
Andorra,AND,1988,,,14305.2085
Andorra,AND,1989,,,15166.91375
