Entity,Code,Year,Share of education in government expenditure (World Bank (2015)) (% Total Expenditure)
Afghanistan,AFG,2010,22.24014
Afghanistan,AFG,2011,19.10585
Afghanistan,AFG,2012,12.82317
Afghanistan,AFG,2013,18.4612
Afghanistan,AFG,2014,18.39787
Albania,ALB,1997,11.15339
Albania,ALB,1998,9.62407
Albania,ALB,1999,9.68246
Albania,ALB,2000,10.13703
Albania,ALB,2001,10.58193
Albania,ALB,2002,9.88692
Albania,ALB,2003,10.5736
Albania,ALB,2004,10.70316
Albania,ALB,2005,11.35797
Albania,ALB,2006,10.93295
Albania,ALB,2007,11.17719
Albania,ALB,2013,12.12391
Algeria,DZA,2008,11.42941
Angola,AGO,1998,6.11468
Angola,AGO,2000,5.25508
Angola,AGO,2005,7.99235
Angola,AGO,2006,7.45481
Angola,AGO,2010,8.68476
Antigua and Barbuda,ATG,1999,12.52143
Antigua and Barbuda,ATG,2002,8.85597
Antigua and Barbuda,ATG,2009,6.91662
Argentina,ARG,1998,15.62227
Argentina,ARG,1999,15.88009
Argentina,ARG,2000,16.22696
Argentina,ARG,2001,16.35761
Argentina,ARG,2002,16.44329
Argentina,ARG,2003,14.36279
Argentina,ARG,2004,15.1602
Argentina,ARG,2005,15.80628
Argentina,ARG,2006,16.35148
Argentina,ARG,2007,15.82749
Argentina,ARG,2008,16.62552
Argentina,ARG,2009,16.6149
Argentina,ARG,2010,15.57046
Argentina,ARG,2011,15.72955
Argentina,ARG,2012,15.06353
Argentina,ARG,2013,15.09043
Armenia,ARM,2005,13.64809
Armenia,ARM,2006,13.57852
Armenia,ARM,2007,13.46559
Armenia,ARM,2008,14.26845
Armenia,ARM,2009,13.45122
Armenia,ARM,2010,12.40051
Armenia,ARM,2011,12.59334
Armenia,ARM,2012,13.70187
Armenia,ARM,2013,11.13677
Armenia,ARM,2014,9.36714
Aruba,ABW,1998,22.08239
Aruba,ABW,1999,19.27892
Aruba,ABW,2000,21.82276
Aruba,ABW,2001,21.32039
Aruba,ABW,2002,19.75715
Aruba,ABW,2004,14.89786
Aruba,ABW,2005,18.88828
Aruba,ABW,2007,20.7888
Aruba,ABW,2008,19.0362
Aruba,ABW,2009,21.56179
Aruba,ABW,2010,22.17513
Aruba,ABW,2011,21.77598
Australia,AUS,1995,14.11191
Australia,AUS,2000,13.59023
Australia,AUS,2005,13.58513
Australia,AUS,2006,13.1782
Australia,AUS,2007,13.03027
Australia,AUS,2008,12.59972
Australia,AUS,2009,13.41502
Australia,AUS,2010,14.3276
Australia,AUS,2011,13.50202
Australia,AUS,2012,13.18429
Austria,AUT,1998,11.79854
Austria,AUT,1999,11.84257
Austria,AUT,2000,11.12452
Austria,AUT,2001,10.9504
Austria,AUT,2002,10.91398
Austria,AUT,2003,10.55023
Austria,AUT,2004,9.95772
Austria,AUT,2005,10.34062
Austria,AUT,2006,10.46353
Austria,AUT,2007,10.54307
Austria,AUT,2008,10.64181
Austria,AUT,2009,10.66201
Austria,AUT,2010,10.85873
Austria,AUT,2011,11.06032
Austria,AUT,2012,10.70825
Azerbaijan,AZE,1998,14.2516
Azerbaijan,AZE,1999,17.88669
Azerbaijan,AZE,2000,18.498
Azerbaijan,AZE,2001,18.77296
Azerbaijan,AZE,2002,11.39684
Azerbaijan,AZE,2003,11.52329
Azerbaijan,AZE,2004,13.3256
Azerbaijan,AZE,2005,13.12068
Azerbaijan,AZE,2006,9.51087
Azerbaijan,AZE,2007,9.82856
Azerbaijan,AZE,2008,8.28235
Azerbaijan,AZE,2009,9.54358
Azerbaijan,AZE,2010,8.77911
Azerbaijan,AZE,2011,7.30383
Azerbaijan,AZE,2012,5.72184
Azerbaijan,AZE,2013,6.47857
Bahamas,BHS,2000,19.49561
Bahrain,BHR,2006,11.91866
Bahrain,BHR,2007,11.02673
Bahrain,BHR,2008,10.55867
Bahrain,BHR,2012,8.94804
Bangladesh,BGD,1999,18.12979
Bangladesh,BGD,2000,20.49042
Bangladesh,BGD,2001,18.58478
Bangladesh,BGD,2002,15.6938
Bangladesh,BGD,2003,16.68163
Bangladesh,BGD,2004,15.95312
Bangladesh,BGD,2006,17.33653
Bangladesh,BGD,2007,18.1534
Bangladesh,BGD,2008,17.81619
Bangladesh,BGD,2009,14.02987
Bangladesh,BGD,2012,14.6635
Bangladesh,BGD,2013,13.82286
Barbados,BRB,1999,13.14668
Barbados,BRB,2000,13.97806
Barbados,BRB,2001,17.25794
Barbados,BRB,2002,15.91701
Barbados,BRB,2003,15.66595
Barbados,BRB,2004,15.38793
Barbados,BRB,2005,15.39544
Barbados,BRB,2007,15.21563
Barbados,BRB,2008,13.42763
Barbados,BRB,2009,13.84276
Barbados,BRB,2010,15.56024
Barbados,BRB,2012,13.68958
Barbados,BRB,2013,12.15405
Barbados,BRB,2014,14.16823
Belarus,BLR,2004,12.84642
Belarus,BLR,2005,12.91494
Belarus,BLR,2006,12.69644
Belarus,BLR,2007,10.74872
Belarus,BLR,2009,9.78506
Belarus,BLR,2010,12.86463
Belarus,BLR,2011,14.03116
Belarus,BLR,2012,13.18072
Belarus,BLR,2013,12.30363
Belarus,BLR,2014,12.44628
Belgium,BEL,2001,12.0038
Belgium,BEL,2002,12.15448
Belgium,BEL,2003,11.75022
Belgium,BEL,2004,12.01388
Belgium,BEL,2005,11.3503
Belgium,BEL,2006,12.22345
Belgium,BEL,2007,12.28268
Belgium,BEL,2008,12.69052
Belgium,BEL,2009,12.02631
Belgium,BEL,2010,12.22374
Belgium,BEL,2011,11.91676
Belize,BLZ,1999,18.89415
Belize,BLZ,2000,16.05444
Belize,BLZ,2001,18.30537
Belize,BLZ,2003,16.15851
Belize,BLZ,2004,16.82134
Belize,BLZ,2008,19.60072
Belize,BLZ,2009,21.77003
Belize,BLZ,2010,23.05208
Belize,BLZ,2013,22.91612
Benin,BEN,1998,18.46174
Benin,BEN,1999,17.88519
Benin,BEN,2000,13.5132
Benin,BEN,2001,15.31058
Benin,BEN,2002,14.12908
Benin,BEN,2003,16.68253
Benin,BEN,2004,19.21395
Benin,BEN,2005,18.79039
Benin,BEN,2006,19.70961
Benin,BEN,2007,14.94869
Benin,BEN,2008,19.08858
Benin,BEN,2009,18.17562
Benin,BEN,2010,26.14396
Benin,BEN,2012,25.02131
Benin,BEN,2013,22.34122
Benin,BEN,2014,22.22764
Bermuda,BMU,2003,11.0366
Bermuda,BMU,2004,11.11385
Bermuda,BMU,2005,12.1054
Bermuda,BMU,2009,13.97043
Bermuda,BMU,2010,12.93424
Bermuda,BMU,2014,7.79644
Bhutan,BTN,2000,13.77201
Bhutan,BTN,2001,13.08501
Bhutan,BTN,2004,18.69831
Bhutan,BTN,2005,22.84906
Bhutan,BTN,2008,15.02172
Bhutan,BTN,2009,14.02075
Bhutan,BTN,2010,12.7593
Bhutan,BTN,2011,11.28502
Bhutan,BTN,2013,16.11339
Bhutan,BTN,2014,17.82473
Bolivia,BOL,1998,18.42669
Bolivia,BOL,1999,19.27241
Bolivia,BOL,2000,18.67085
Bolivia,BOL,2001,18.46146
Bolivia,BOL,2002,18.71381
Bolivia,BOL,2003,19.94096
Bolivia,BOL,2006,21.1625
Bolivia,BOL,2008,19.92381
Bolivia,BOL,2009,22.56084
Bolivia,BOL,2010,24.12779
Bolivia,BOL,2011,19.48311
Bolivia,BOL,2012,17.82875
Bolivia,BOL,2014,16.85088
Botswana,BWA,2005,25.82353
Botswana,BWA,2007,26.50779
Botswana,BWA,2009,20.4774
Brazil,BRA,1998,11.62986
Brazil,BRA,1999,9.60027
Brazil,BRA,2000,11.45216
Brazil,BRA,2001,10.61076
Brazil,BRA,2002,9.63646
Brazil,BRA,2004,10.39372
Brazil,BRA,2005,11.25672
Brazil,BRA,2006,12.42273
Brazil,BRA,2007,13.21855
Brazil,BRA,2008,14.08221
Brazil,BRA,2009,14.72402
Brazil,BRA,2010,14.55991
Brazil,BRA,2011,15.26927
Brazil,BRA,2012,15.56961
Brunei,BRN,1998,8.76089
Brunei,BRN,1999,8.89343
Brunei,BRN,2000,8.92074
Brunei,BRN,2010,5.29154
Brunei,BRN,2011,9.18219
Brunei,BRN,2012,9.72782
Brunei,BRN,2014,9.98591
Bulgaria,BGR,1998,8.95102
Bulgaria,BGR,2001,9.27774
Bulgaria,BGR,2002,9.65432
Bulgaria,BGR,2003,11.18025
Bulgaria,BGR,2004,6.703
Bulgaria,BGR,2005,12.07252
