Table generated on 12/10/2017,,,,,,,,,,,,
,,,,,,,,,,,,
Name,Year,Average debt of graduates,Percent of graduates with debt,Average debt of graduates in federal loans,Percent of graduates borrowing federal loans,Doctoral and first-professional degree recipients,Master's degree recipients,Graduate certificate recipients,Bachelor's degree recipients (Peterson's),Bachelor's degree recipients (IPEDS),Associate's degree recipients,Undergraduate certificate recipients
Alabama - Total,2015-16,31275,0.5,25018,0.49,2432,12074,874,N/A,31098,12879,10360
Alabama - Total,2014-15,29153,0.52,25266,0.51,2429,11800,774,N/A,30060,13649,9068
Alabama - Total,2013-14,29425,0.54,25964,0.52,2286,11346,814,N/A,29516,13339,8246
Alabama - Total,2012-13,28895,0.54,25657,0.52,2297,11670,780,N/A,29876,13781,8700
Alabama - Total,2011-12,26450,0.53,23080,0.51,2256,11539,811,N/A,28277,14203,9241
Alabama - Total,2010-11,25463,0.54,21759,0.52,2144,11888,619,N/A,27248,30080,9733
Alaska - Total,2015-16,26008,0.49,23525,0.42,53,678,192,N/A,2033,1611,2849
Alaska - Total,2014-15,26171,0.55,23379,0.46,49,703,227,N/A,1932,1729,2706
Alaska - Total,2013-14,26742,0.5,22016,0.49,60,707,257,N/A,2033,1805,2532
Alaska - Total,2012-13,28570,0.49,21861,0.47,54,724,219,N/A,1895,1758,2302
Alaska - Total,2011-12,28782,0.49,20831,0.47,50,703,216,N/A,1750,1706,2007
Alaska - Total,2010-11,N/A,N/A,N/A,N/A,46,693,179,N/A,1770,1523,1638
Arizona - Total,2015-16,23447,0.49,20251,0.48,4227,28147,1687,N/A,56685,33564,43949
Arizona - Total,2014-15,23780,0.56,21275,0.55,4368,27785,1642,N/A,58602,37713,41640
Arizona - Total,2013-14,22609,0.57,20530,0.58,3904,28841,1630,N/A,61296,41865,40631
Arizona - Total,2012-13,22242,0.56,20434,0.58,3771,30579,1320,N/A,66304,48911,40753
Arizona - Total,2011-12,20299,0.54,17943,0.55,3533,36178,1378,N/A,64707,63018,43485
Arizona - Total,2010-11,19946,0.49,16739,0.49,2937,36231,1554,N/A,50940,58992,41773
Arkansas - Total,2015-16,26859,0.56,23835,0.52,1041,5277,634,N/A,16019,8767,13572
Arkansas - Total,2014-15,26734,0.57,25191,0.56,971,4899,621,N/A,15881,9095,13576
Arkansas - Total,2013-14,25779,0.55,23667,0.55,985,4896,485,N/A,15489,8868,13330
Arkansas - Total,2012-13,25404,0.56,23060,0.54,980,5225,468,N/A,14317,8499,12611
Arkansas - Total,2011-12,23327,0.55,21434,0.54,913,5320,358,N/A,14190,8645,12026
Arkansas - Total,2010-11,23048,0.56,21514,0.55,813,4793,373,N/A,13259,10181,12331
California - Total,2015-16,22744,0.53,20297,0.52,18084,78810,4832,N/A,203965,143851,135270
California - Total,2014-15,22191,0.54,20201,0.54,18389,76556,5054,N/A,201127,133590,138282
California - Total,2013-14,21379,0.55,19440,0.54,18521,72088,4944,N/A,187579,128414,140322
California - Total,2012-13,20340,0.55,18495,0.55,18479,71105,4179,N/A,180593,120704,147081
California - Total,2011-12,20270,0.52,18624,0.52,17567,70821,6458,N/A,172556,114849,144979
California - Total,2010-11,18867,0.51,17447,0.51,17301,69316,8027,N/A,169691,107718,150836
Colorado - Total,2015-16,26520,0.53,22317,0.52,2969,14934,859,N/A,34405,14210,20624
Colorado - Total,2014-15,25840,0.56,22987,0.55,2884,15006,844,N/A,34628,14016,21070
Colorado - Total,2013-14,25064,0.56,22041,0.54,2883,14884,792,N/A,34436,14177,21203
Colorado - Total,2012-13,24608,0.56,20966,0.55,2747,15009,744,N/A,33487,15550,19433
Colorado - Total,2011-12,24540,0.52,21351,0.5,2354,15406,731,N/A,32229,16939,17964
Colorado - Total,2010-11,22283,0.54,19242,0.53,2171,14264,754,N/A,30571,16145,17808
Connecticut - Total,2015-16,35494,0.6,24122,0.58,2052,10829,1621,N/A,22721,7320,9310
Connecticut - Total,2014-15,34773,0.64,24540,0.63,2115,9732,1481,N/A,22563,7026,10119
Connecticut - Total,2013-14,29750,0.62,22885,0.59,2049,9521,1385,N/A,21931,7190,10538
